Title,Studio,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,OpeningDate,Director,MainActor,Rating,Genre,Month
9,Focus,31749894,2060,10740446,1661,9/9/2009,Shane Acke," 
Elijah Wood",7,Animation,9
21,Sony,81159365,2952,24105943,2648,3/28/2008,Robert Luketic,Jim Sturgess,7,Drama,3
42,WB,95020213,3405,27487144,3003,4/12/2013,Brian Helgeland,Chadwick Boseman,5,Drama,4
300,WB,210614939,3280,70885301,3103,3/9/2007,Zack Snyder,Gerard Butler,7,Action,3
1408,MGM/W,71985628,2733,20617667,2678,6/22/2007,Mikael Håfström,John Cusack,7,Horror,6
2012,Sony,166112167,3444,65237614,3404,11/13/2009,Roland Emmerich,John Cusack,6,Action,11
(500) Days of Summer,FoxS,32391374,1048,834501,27,7/17/2009,Marc Webb," 
Joseph Gordon-Levitt",7,Comedy,7
10 Cloverfield Lane,Par.,72082998,3427,24727437,3391,3/11/2016,Dan Trachtenberg,John Goodman,7,Thriller,3
10 Things I Hate About You,BV,38178166,2311,8330681,2271,3/31/1999,Gil Junger,Heath Ledger,8,Comedy,3
102 Dalmatians,BV,66957026,2704,19883351,2704,11/22/2000,Kevin Lima,Glenn Close,5,Comedy,11
12 Strong,WB,45819713,3018,15815025,3002,1/19/2018,Nicolai Fuglsig,Chris Hemsworth,6,War,1
12 Years a Slave,FoxS,56671993,1474,923715,19,10/18/2013,Steve McQueen,Chiwetel Ejiofor,8,Drama,10
13 Going on 30,SonR,57231747,3453,21054283,3438,4/23/2004,Gary Winick,Jennifer Garner,7,Comedy,4
13 Hours: The Secret Soldiers of Benghazi,Par.,52853219,2917,16194738,2389,1/15/2016,Michael Bay,John Krasinski,7,Action,1
15 Minutes,NL,24403552,2337,10523154,2337,3/9/2001,John Herzfeld,Robert De Niro,6,Action,3
16 Blocks,WB,36895141,2706,11855260,2706,3/3/2006,Richard Donner,Bruce Willis,6,Action,3
17 Again,WB (NL),64167069,3255,23722310,3255,4/17/2009,Burr Steers, Zac Efron,6,Comedy,4
2 Fast 2 Furious,Uni.,127154901,3418,50472480,3408,6/6/2003,John Singleton,Paul Walker,6,Action,6
2 Guns,Uni.,75612460,3028,27059130,3025,8/2/2013,Baltasar Kormákur,Denzel Washington,7,Action,8
21 Jump Street,Sony,138447667,3148,36302612,3121,3/16/2012,Phil Lord,Jonah Hill,7,Action,3
22 Jump Street,Sony,191719337,3426,57071445,3306,6/13/2014,Phil Lord,Channing Tatum,7,Crime,6
27 Dresses,Fox,76808654,3074,23007725,3057,1/18/2008, Anne Fletcher, Katherine Heigl,6,Comedy,1
28 Days,Sony,37170488,2523,10310672,2523,4/14/2000,Betty Thomas,Sandra Bullock,6,Comedy,4
28 Days Later,FoxS,45064915,1407,10061858,1260,6/27/2003,Danny Boyle,Cillian Murphy,7,Horror,6
28 Weeks Later,FoxA,28638916,2305,9807292,2303,5/11/2007,Juan Carlos Fresnadillo," 
Robert Carlyle",7,Horror,5
3 Days to Kill,Rela.,30697999,2872,12242218,2872,2/21/2014,McG,Kevin Costner,6,Action,2
30 Days of Night,Sony,39568996,2859,15951902,2855,10/19/2007,David Slade,Josh Hartnett,6,Horror,10
30 Minutes or Less,Sony,37053924,2888,13330118,2888,8/12/2011,Ruben Fleischer,Jesse Eisenberg,6,Action,8
300: Rise of An Empire,WB,106580051,3490,45038460,3470,3/7/2014,Noam Murro,Sullivan Stapleton,6,Action,3
40 Days and 40 Nights,Mira.,37950822,2399,12229529,2225,3/1/2002,Michael Lehmann,Josh Hartnett,5,Comedy,3
47 Meters Down,ENTMP,44307191,2471,11205561,2270,6/16/2017,Johannes Roberts,Mandy Moore,6,Drama,6
47 Ronin,Uni.,38362475,2690,9910310,2689,12/25/2013,Carl Rinsch,Keanu Reeves,6,Drama,12
50 First Dates,Sony,120908074,3612,39852237,3591,2/13/2004,Peter Segal,Adam Sandler,7,Comedy,2
50/50,Sum.,35014192,2479,8644095,2458,9/30/2011,Jonathan Levine,Joseph Gordon-Levitt,7,Comedy,9
8 Mile,Uni.,116750901,2585,51240555,2470,11/8/2002,Curtis Hanson,Eminem,7,Drama,11
8MM,Sony,36663315,2370,14252888,2370,2/26/1999,Joel Schumacher,Nicolas Cage,6,Thriller,2
A Bad Moms Christmas,STX,72110659,3615,16759161,3615,11/1/2017,Jon Lucas,Mila Kunis,6,Comedy,11
A Beautiful Mind,Uni.,170742341,2250,367151,11,12/21/2001,Ron Howard,Russell Crowe,8,Drama,12
A Cinderella Story,WB,51438175,2625,13623350,2625,7/16/2004,Mark Rosman,Hilary Duff,6,Comedy,7
A Good Day to Die Hard,Fox,67349198,3555,24834845,3553,2/14/2013,John Moore,Bruce Willis,5,Action,2
A Haunted House,ORF,40041683,2160,18101682,2160,1/11/2013,Michael Tiddes,Marlon Wayans,6,Comedy,1
A History of Violence,NL,31504633,1348,515992,14,9/23/2005,David Cronenberg,Viggo Mortensen,7,Drama,9
A Man Apart,NL,26736098,2495,11019224,2459,4/4/2003,F. Gary Gray,Vin Diesel,6,Action,4
A Million Ways to Die in the West,Uni.,43139300,3160,16797385,3158,5/30/2014,Seth MacFarlane,Seth MacFarlane,6,Comedy,5
