Title,Studio,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,OpeningDate,Director,MainActor,Rating,Genre
9,Focus,31749894,2060,10740446,1661,09-09-09,Shane Acke," 
Elijah Wood",7.3,Animation
21,Sony,81159365,2952,24105943,2648,3/28/2008,Robert Luketic,Jim Sturgess,6.6,Drama
42,WB,95020213,3405,27487144,3003,04-12-13,Brian Helgeland,Chadwick Boseman,5.3,Drama
300,WB,210614939,3280,70885301,3103,03-09-07,Zack Snyder,Gerard Butler,7.1,Action
1408,MGM/W,71985628,2733,20617667,2678,6/22/2007,Mikael Håfström,John Cusack,6.6,Horror
2012,Sony,166112167,3444,65237614,3404,11/13/2009,Roland Emmerich,John Cusack,5.7,Action
(500) Days of Summer,FoxS,32391374,1048,834501,27,7/17/2009,Marc Webb," 
Joseph Gordon-Levitt",7.2,Comedy
10 Cloverfield Lane,Par.,72082998,3427,24727437,3391,03-11-16,Dan Trachtenberg,John Goodman,6.9,Thriller
10 Things I Hate About You,BV,38178166,2311,8330681,2271,3/31/1999,Gil Junger,Heath Ledger,7.5,Comedy
102 Dalmatians,BV,66957026,2704,19883351,2704,11/22/2000,Kevin Lima,Glenn Close,5.4,Comedy
12 Strong,WB,45819713,3018,15815025,3002,1/19/2018,Nicolai Fuglsig,Chris Hemsworth,5.6,War
12 Years a Slave,FoxS,56671993,1474,923715,19,10/18/2013,Steve McQueen,Chiwetel Ejiofor,7.9,Drama
13 Going on 30,SonR,57231747,3453,21054283,3438,4/23/2004,Gary Winick,Jennifer Garner,6.5,Comedy
13 Hours: The Secret Soldiers of Benghazi,Par.,52853219,2917,16194738,2389,1/15/2016,Michael Bay,John Krasinski,7,Action
15 Minutes,NL,24403552,2337,10523154,2337,03-09-01,John Herzfeld,Robert De Niro,5.7,Action
16 Blocks,WB,36895141,2706,11855260,2706,03-03-06,Richard Donner,Bruce Willis,6.3,Action
17 Again,WB (NL),64167069,3255,23722310,3255,4/17/2009,Burr Steers, Zac Efron,6.2,Comedy
2 Fast 2 Furious,Uni.,127154901,3418,50472480,3408,06-06-03,John Singleton,Paul Walker,6.3,Action
2 Guns,Uni.,75612460,3028,27059130,3025,08-02-13,Baltasar Kormákur,Denzel Washington,6.5,Action
21 Jump Street,Sony,138447667,3148,36302612,3121,3/16/2012,Phil Lord,Jonah Hill,6.8,Action
22 Jump Street,Sony,191719337,3426,57071445,3306,6/13/2014,Phil Lord,Channing Tatum,6.9,Crime
27 Dresses,Fox,76808654,3074,23007725,3057,1/18/2008, Anne Fletcher, Katherine Heigl,6.3,Comedy
28 Days,Sony,37170488,2523,10310672,2523,4/14/2000,Betty Thomas,Sandra Bullock,6,Comedy
28 Days Later,FoxS,45064915,1407,10061858,1260,6/27/2003,Danny Boyle,Cillian Murphy,7.2,Horror
28 Weeks Later,FoxA,28638916,2305,9807292,2303,05-11-07,Juan Carlos Fresnadillo," 
Robert Carlyle",6.5,Horror
3 Days to Kill,Rela.,30697999,2872,12242218,2872,2/21/2014,McG,Kevin Costner,6.1,Action
30 Days of Night,Sony,39568996,2859,15951902,2855,10/19/2007,David Slade,Josh Hartnett,6.3,Horror
30 Minutes or Less,Sony,37053924,2888,13330118,2888,08-12-11,Ruben Fleischer,Jesse Eisenberg,5.6,Action
300: Rise of An Empire,WB,106580051,3490,45038460,3470,03-07-14,Noam Murro,Sullivan Stapleton,6,Action
40 Days and 40 Nights,Mira.,37950822,2399,12229529,2225,03-01-02,Michael Lehmann,Josh Hartnett,5.2,Comedy
47 Meters Down,ENTMP,44307191,2471,11205561,2270,6/16/2017,Johannes Roberts,Mandy Moore,5.6,Drama
47 Ronin,Uni.,38362475,2690,9910310,2689,12/25/2013,Carl Rinsch,Keanu Reeves,6,Drama
50 First Dates,Sony,120908074,3612,39852237,3591,2/13/2004,Peter Segal,Adam Sandler,6.7,Comedy
50/50,Sum.,35014192,2479,8644095,2458,9/30/2011,Jonathan Levine,Joseph Gordon-Levitt,7.1,Comedy
